Número de secuencia;Tipo de distinción;Órgano competente;Apellidos y nombre / Institución;Profesión / Actividad;Fecha de concesión;Fecha de entrega
1;Alcalde Honorario (anterior a Reglamento de Distinciones Honoríficas de 1961);;Victoria Eugenia de Battenberg;;31/12/1924;23/01/1925
2;Alcalde Honorario (anterior a Reglamento de Distinciones Honoríficas de 1961);;S.M. Rey Alfonso XIII;;31/12/1924;23/01/1925
3;Concejal Honorario (1961);Pleno (mayoría absoluta);Giralt, Hernán M.;;22/05/1961;
4;Concejal Honorario (1961);Pleno (mayoría absoluta);Amigo de Lara, Joaquín;;26/04/1963;
5;Concejal Honorario (anterior a Reglamento Distinciones Honorificas 1961);;Salvaçao Barreto, Álvaro;;21/11/1950;
6;Concejal Honorario (anterior a Reglamento Distinciones Honorificas 1961);;Larco Ferrari, Luis Tomás;;27/11/1953;
7;Cronista de la Villa;Pleno (mayoría simple);Ruiz Albéniz, Víctor;Periodista;11/11/1943;
8;Cronista de la Villa;Pleno (mayoría simple);Rodríguez de Rivas, Mariano ;Escritor;23/12/1943;
9;Cronista de la Villa;Pleno (mayoría simple);Ortega Lissón, Rafael;;30/07/1954;
10;Cronista de la Villa;Pleno (mayoría simple);López Sancho, Lorenzo;periodista y escritor;30/07/1954;17/11/1999
11;Cronista de la Villa;Pleno (mayoría simple);Serrano Anguita, Francisco;periodista y autor drámatico;31/12/1954;
12;Cronista de la Villa;Pleno (mayoría simple);de Aguinaga López, Enrique;Catedrático y periodista;31/12/1954;17/11/1999
13;Cronista de la Villa;Pleno (mayoría simple);López Izquierdo, Rafael ;;18/05/1956;
14;Cronista de la Villa;Pleno (mayoría simple);Oliver Asín, Jaime;;25/02/1966;
15;Cronista de la Villa;Pleno (mayoría simple);Borrás, Tomás;;25/02/1966;
16;Cronista de la Villa;Pleno (mayoría simple);Díaz Cañabate, Antonio;;25/02/1966;
17;Cronista de la Villa;Pleno (mayoría simple);Sainz de Robles y Correa, Federico Carlos;;25/02/1966;
18;Cronista de la Villa;Pleno (mayoría simple);Hernández Sampelayo,  Juan ;;29/09/1976;
19;Cronista de la Villa;Pleno (mayoría simple);Chueca Goitia, Fernando ; Arquitecto y Académico de Historia y Bellas Artes;29/09/1976;17/11/1999
20;Cronista de la Villa;Pleno (mayoría simple);del Corral y Raya, José ;Escritor;26/02/1999;17/11/1999
21;Cronista de la Villa;Pleno (mayoría simple);Montoliú Camps, Pedro ;Periodista;26/02/1999;17/11/1999
22;Cronista de la Villa;Pleno (mayoría simple);del Río López, Ángel ;Periodista y escritor;26/02/1999;17/11/1999
23;Cronista de la Villa;Pleno (mayoría simple);Prados de la Plaza, Luis ;Periodista;26/02/1999;17/11/1999
24;Cronista de la Villa;Pleno (mayoría simple);Castro Jiménez, Antonio ;Periodista;27/09/2007;18/10/2013
25;Cronista de la Villa;Pleno (mayoría simple);Ruiz Tarazona, Andrés ;Musicólogo;28/11/2008;18/10/2013
26;Cronista de la Villa;Pleno (mayoría simple);González Toledano, Ruth ;Periodista;30/03/2011;18/10/2013
27;Cronista de la Villa;Pleno (mayoría simple);Alcaraz Hernández, María Teresa ;Periodista y escritora;30/03/2011;18/10/2013
28;Cronista de la Villa;Pleno (mayoría simple);Iglesias Cano, Carmen ;Historiadora;30/03/2011;18/10/2013
29;Cronista de la Villa;Pleno (mayoría simple);Barrios Pintado, Feliciano;Doctor en Derecho;30/07/2013;18/10/2013
30;Cronista de la Villa (anterior a 1943);Pleno (mayoría simple);de la Quintana, Jerónimo ;;01/01/1800;
31;Cronista de la Villa (anterior a 1943);Pleno (mayoría simple);de León Pinelo, Antonio ;;01/01/1800;
32;Cronista de la Villa (anterior a 1943);Pleno (mayoría simple);Santos, Francisco ;;01/01/1800;
33;Cronista de la Villa (anterior a 1943);Pleno (mayoría simple);de Liñán, Antonio ;;01/01/1800;
34;Cronista de la Villa (anterior a 1943);Pleno (mayoría simple);de la Cruz, Ramón ;;01/01/1800;
35;Cronista de la Villa (anterior a 1943);Pleno (mayoría simple);López de Hoyos, Juan;;01/01/1864;
36;Cronista de la Villa (anterior a 1943);Pleno (mayoría simple);Mesonero Romanos, Ramón;Escritor;01/01/1864;
37;Cronista de la Villa (anterior a 1943);Pleno (mayoría simple);de los Rios, José Amador ;;01/01/1878;
38;Cronista de la Villa (anterior a 1943);Pleno (mayoría simple);Fernández de los Ríos, Ángel ;;01/01/1880;
39;Cronista de la Villa (anterior a 1943);Pleno (mayoría simple);Peñasco, Hilario ;;01/01/1891;
40;Cronista de la Villa (anterior a 1943);Pleno (mayoría simple);Cambronero, Carlos ;;01/01/1913;
41;Cronista de la Villa (anterior a 1943);Pleno (mayoría simple);de Répide, Pedro;Escritor;05/05/1923;
42;Cronista de la Villa (anterior a 1943);Pleno (mayoría simple);Velasco Zazo, Antonio;Escritor;01/06/1923;
43;Cronista de la Villa (anterior a 1943);Pleno (mayoría simple);Bonmati de Codecido, Francisco ;Escritor;12/03/1942;
44;Cronista de la Villa (anterior a 1943);Pleno (mayoría simple);de Colmenares y Orgaz, Aurelio;Escritor;01/06/1943;
45;Cronista de la Villa (anterior a 1943);Pleno (mayoría simple);Carrere Moreno, Emilio;poeta, periodista y narrador;01/06/1943;
46;Cronista Honorario de la Villa;Pleno (mayoría absoluta);Instituto de Estudios Madrileños;;25/02/1966;17/11/1999
47;Hijo Adoptivo (anterior a Reglamento Distinciones Honoríficas 1961);;Calvo Agostí, Ricardo;Actor;14/07/1950;
48;Hijo Adoptivo de Madrid (1961);Pleno (mayoría absoluta);Franco Polo de Martínez Bordiú, Carmen;;30/03/1962;
49;Hijo Adoptivo de Madrid (1961);Pleno (mayoría absoluta);Eijo Garay, Leopoldo;Escritor y Obispo;04/09/1963;
50;Hijo Adoptivo de Madrid (1961);Pleno (mayoría absoluta);"Franco Bahamonde, Francisco
Retirada por Acuerdo Plenario 29/06/2009";;17/03/1964;
51;Hijo Adoptivo de Madrid (1961);Pleno (mayoría absoluta);Bernabéu de Yeste, Santiago;Futbolista;31/05/1978;
52;Hijo Adoptivo de Madrid (1961);Pleno (mayoría absoluta);Carandell, Luis;Escritor y periodista;28/11/1980;10/12/1981
53;Hijo Adoptivo de Madrid (1961);Pleno (mayoría absoluta);Sorozábal Marielcurrena, Pablo ;Compositor musical;29/05/1981;10/12/1981
54;Hijo Adoptivo de Madrid (1961);Pleno (mayoría absoluta);Cela, Camilo José;Escritor;26/03/1982;28/05/1982
55;Hijo Adoptivo de Madrid (1961);Pleno (mayoría absoluta);López-Quiroga, Manuel;Compositor;02/12/1985;19/12/1986
56;Hijo Adoptivo de Madrid (1961);Pleno (mayoría absoluta);Tarradellas y Juan, Josep;;30/10/1986;19/12/1986
57;Hijo Adoptivo de Madrid (1961);Pleno (mayoría absoluta);Nieto Roldán, Ángel;Deportista;30/10/1986;19/12/1986
58;Hijo Adoptivo de Madrid (1961);Pleno (mayoría absoluta);Prat García, José Diosdado;;30/10/1986;19/12/1986
59;Hijo Adoptivo de Madrid (1961);Pleno (mayoría absoluta);De Borbón y Borbón, Juan Carlos ;;22/11/1988;29/03/1989
60;Hijo Adoptivo de Madrid (1961);Pleno (mayoría absoluta);Pedrol Rius, Antonio ;Decano del Colegio de Abogados de Madrid ;28/10/1992;31/05/1993
61;Hijo Adoptivo de Madrid (1961);Pleno (mayoría absoluta);Rosales Camacho, Luis ;Poeta y ensayista;28/10/1992;31/05/1993
62;Hijo Adoptivo de Madrid (1961);Pleno (mayoría absoluta);Montero Alonso, José;Profesor, periodista, crítico teatral y escritor;29/10/1993;14/07/1994
63;Hijo Adoptivo de Madrid (1961);Pleno (mayoría absoluta);Casado D'Arambillet Veiga Rey, Fernando;Actor;25/03/1994;14/07/1994
64;Hijo Adoptivo de Madrid (1961);Pleno (mayoría absoluta);Marías Aguilera, Julián;Ensayista y filósofo;29/06/1994;14/07/1994
65;Hijo Adoptivo de Madrid (1961);Pleno (mayoría absoluta);Enrique yTarancón, Vicente;Sacerdote;22/12/1994;11/11/1996
66;Hijo Adoptivo de Madrid (1961);Pleno (mayoría absoluta);Fernández Cid de Temes, Antonio;Crítico musical y académico;31/03/1995;11/11/1996
67;Hijo Adoptivo de Madrid (1961);Pleno (mayoría absoluta);Tomás y Valiente, Francisco ;Catedrático de Derecho Administrativo;23/02/1996;11/11/1996
