cod_municipality;name_municipality;population_2018;lat;lon
28001;Acebeda, La;65;41,09301845429;-3,62013884510
28002;Ajalvir;4559;40,52908690721;-3,47657864970
28003;Alameda del Valle;195;40,92046423456;-3,84824445660
28004;Álamo, El;9353;40,23284479206;-3,98730467840
28005;Alcalá de Henares;193751;40,49940441518;-3,34017322310
28006;Alcobendas;116037;40,53615280749;-3,62913202000
28007;Alcorcón;169502;40,34923018054;-3,82847249500
28008;Aldea del Fresno;2698;40,30641881421;-4,21754450170
28009;Algete;20473;40,61498314884;-3,53327916230
28010;Alpedrete;14364;40,66190574479;-4,01889889550
28011;Ambite;601;40,34255390865;-3,17199718250
28012;Anchuelo;1272;40,46883411601;-3,27659099950
28013;Aranjuez;59037;40,02019592785;-3,65907170530
28014;Arganda del Rey;54554;40,29637105749;-3,44944565530
28015;Arroyomolinos;30052;40,27694900000;-3,92117100000
28016;Atazar, El;93;40,92919004560;-3,47259944240
28017;Batres;1638;40,22537567452;-3,92799728340
28018;Becerril de la Sierra;5564;40,70307289642;-3,93368285590
28019;Belmonte de Tajo;1627;40,13294389105;-3,33752852430
28021;Berrueco, El;741;40,88823016950;-3,55322825770
28020;Berzosa del Lozoya;198;40,97360497076;-3,53245574777
28022;Boadilla del Monte;52626;40,40460782849;-3,88469696040
28023;Boalo, El;7399;40,70104830878;-3,91460471180
28024;Braojos;205;41,05661591502;-3,65581044380
28025;Brea de Tajo;525;40,23867930860;-3,12007502080
28026;Brunete;10596;40,39957134971;-3,99752718267
28027;Buitrago del Lozoya;1875;40,99418580157;-3,63538289420
28028;Bustarviejo;2486;40,84372497542;-3,73083730601
28029;Cabanillas de la Sierra;712;40,82570255026;-3,63677638450
28030;Cabrera, La;2613;40,86420544122;-3,60828156790
28031;Cadalso de los Vidrios;3049;40,29841344767;-4,43881299750
28032;Camarma de Esteruelas;7226;40,56304692608;-3,37457940390
28033;Campo Real;6075;40,32237777872;-3,37766611930
28034;Canencia;423;40,89253336513;-3,75533490400
28035;Carabaña;1905;40,25537030515;-3,24683106090
28036;Casarrubuelos;3707;40,17488851914;-3,82684980100
28037;Cenicientos;1980;40,24207252092;-4,50835864130
28038;Cercedilla;6948;40,76;-4,05422010250
28039;Cervera de Buitrago;149;40,91339613874;-3,51893234510
28051;Chapinería;2240;40,36847184295;-4,19953374760
28052;Chinchón;5239;40,15498142182;-3,48812703040
28040;Ciempozuelos;24087;40,15359901329;-3,60009974960
28041;Cobeña;7280;40,57298889299;-3,50784095999
28046;Collado Mediano;6781;40,69384825581;-4,03243982240
28047;Collado Villalba;63074;40,64297042712;-3,99051888389
28043;Colmenar de Oreja;7902;40,07356686953;-3,45799369464
28042;Colmenar del Arroyo;1685;40,39627499687;-4,17658639850
28045;Colmenar Viejo;49498;40,64027171489;-3,73150887780
28044;Colmenarejo;9124;40,53024536570;-4,01610342640
28048;Corpa;697;40,42470720431;-3,25049581420
28049;Coslada;81860;40,42901607310;-3,55159100880
28050;Cubas de la Sagra;6310;40,19161766100;-3,83419136750
28053;Daganzo de Arriba;10061;40,56253250232;-3,43988299220
28054;Escorial, El;15842;40,57419998192;-4,09696852460
28055;Estremera;1236;40,14017133299;-3,09373534800
28056;Fresnedillas de la Oliva;1554;40,47482833967;-4,17879864300
28057;Fresno de Torote;2181;40,60457583351;-3,40402912870
28058;Fuenlabrada;193586;40,28853969228;-3,79729646550
28059;Fuente el Saz de Jarama;6541;40,63868287131;-3,52122887220
28060;Fuentidueña de Tajo;1985;40,11364144613;-3,16454272230
28061;Galapagar;33379;40,55946608011;-3,97669314370
28062;Garganta de los Montes;348;40,93969668069;-3,68535906730
28063;Gargantilla del Lozoya y Pinilla de Buitrago;318;40,42617500000;-3,68514400000
28064;Gascones;188;41,02898089064;-3,66149418470
28065;Getafe;180747;40,29462715510;-3,65977915430
28066;Griñón;10178;40,22160275791;-3,84202887170
28067;Guadalix de la Sierra;6119;40,77088737270;-3,67760123130
28068;Guadarrama;15785;40,68173579211;-4,09094628770
28069;Hiruela, La;48;41,07444041336;-3,44749525800
28070;Horcajo de la Sierra-Aoslos;148;41,07983358741;-3,58944551450
28071;Horcajuelo de la Sierra;89;41,07529343941;-3,54849636850
28072;Hoyo de Manzanares;8222;40,62229178309;-3,90872955320
28073;Humanes de Madrid;19587;"	40,2489600508098";-3,82236086810
28074;Leganés;188425;"	40,3273607712904";-3,77930695160
28075;Loeches;8673;"	40,3828515495384";-3,42061104810
28076;Lozoya;559;"	40,9600466381477";-3,78134645620
28901;Lozoyuela-Navas-Sieteiglesias;1266;40,92153622822;-3,61553726960
28078;Madarcos;47;"	41,0365837796632";-3,57507874240
28079;Madrid;3223334;"	40,4893538421231";-3,68274615570
28080;Majadahonda;71785;"	40,4738525865893";-3,86993408200
28082;Manzanares el Real;8597;"	40,740639286842";-3,90052669254
28083;Meco;13959;"	40,5531350118786";-3,32799911490
28084;Mejorada del Campo;23241;"	40,4020561889652";-3,47564008550
28085;Miraflores de la Sierra;5897;"	40,7844234310237";-3,75982551170
28086;Molar, El;8666;"	40,7003574188942";-3,56901223780
28087;Molinos, Los;4328;"	40,7178023970883";-4,08646038180
28088;Montejo de la Sierra;363;"	41,1015414633669";-3,51075712000
28089;Moraleja de Enmedio;5021;"	40,2601334447916";-3,89422724620
28090;Moralzarzal;12697;"	40,6712623383137";-3,94042438400
28091;Morata de Tajuña;7553;"	40,2337225306686";-3,45405052830
28092;Móstoles;207095;"	40,3095534541817";-3,90056843640
28093;Navacerrada;2911;"	40,7568569798145";-4,00711028840
28094;Navalafuente;1397;"	40,8213263453321";-3,67062142060
28095;Navalagamella;2601;"	40,4400582380527";-4,13130248400
28096;Navalcarnero;28305;40,28210176840;-3,99743084160
28097;Navarredonda y San Mamés;122;"	41,0022608316099";-3,72134203910
28099;Navas del Rey;2819;"	40,3775645526013";-4,27706947470
28100;Nuevo Baztán;6154;"	40,3752455861881";-3,24754776730
28101;Olmeda de las Fuentes;346;"	40,3711240196092";-3,20757444840
28102;Orusco de Tajuña;1202;"	40,2939972060512";-3,21130111730
28104;Paracuellos de Jarama;24521;"	40,5198271658523";-3,53337782810
28106;Parla;128256;"	40,2337784618279";-3,77209453350
28107;Patones;523;"	40,8945406675332";-3,48110047460
28108;Pedrezuela;5746;"	40,7410124265728";-3,62503073690
28109;Pelayos de la Presa;2475;"	40,3640815552639";-4,32268025090
28110;Perales de Tajuña;2831;"	40,2304872804066";-3,35835656200
28111;Pezuela de las Torres;821;"	40,4044716362477";-3,17614481600
28112;Pinilla del Valle;187;"	40,9411659895241";-3,83381427280
28113;Pinto;51541;"	40,2589448043895";-3,68321309630
28114;Piñuécar-Gandullas;171;"	41,0357427781652";-3,59780499550
28115;Pozuelo de Alarcón;86172;"	40,4300398736521";-3,81650091630
